Headline,LABEL
rachel crandall crocker founder international transgender visibility said organizing taught invaluable lesson have perfect change world,Positive
recent annual survey gallup reveals that number americans identify members lgbtq community doubled since with nearly percent women identifying heterosexual survey conducted more than,Positive
recent decision national health service puberty blockers under prescription outside upcoming clinical trials rare indication that common sense biological reality staging comeback however this ruling small victory,Neutral
recent news article mentioned that lgbt doctors know transgender hormones cause cancer death still continue prescribe them,Negative
recent report office children commissioner england revealed that children referred youth mental health services were given support according report written commissioner rachel souza eight percent,Positive
reeducation camp children that teaches little ones become genderless drag queens news after corporate sponsors were revealed include household names like target north face chaco toms brooks among others call,Neutral
regulations that school board adopted violate principles religious freedom place students offensive potentially dangerous situations,Negative
report from glaad found that anti trans hate remains prevalent across meta social media platforms data comes after years platform being called failing meaningfully curb transphobia june coalition over lgbtq,Negative
report from media matters glaad finds that york times excluded perspectives trans people from thirds stories about anti trans legislation year following public criticism handling topic media matters,Negative
report from senior doctor england says children question their gender identity being down lack evidence toxic political debate,Negative
reported earlier cassandra fairbanks biden issued white house proclamation declaring march transgender visibility this march course easter sunday post godless left running attacking donald trump faith,Negative
reported earlier cassandra fairbanks biden issued white house proclamation declaring march transgender visibility this march course easter sunday post this once again shows little respect president biden,Negative
republican legislators close banning gender affirming care transgender minors kansas over democratic governor expected veto,Positive
republican legislators kansas close banning gender affirming care minors over democratic governor expected veto after winning over previously skeptical colleagues fueling fears that success will encourage further attempts roll back,Positive
republican party florida chairman evan power blasted president biden saturday declaring march easter sunday transgender visibility post florida blasts biden declaring easter sunday transgender visibility,Positive
republican post exclusive congressional candidate kathleen winn discusses rino opponent juan ciscomani vote trillion spending package that funds abortion lgbtq organizations child gender transitions border security appea,Neutral
research reveals york times excluded transgender voices percent trans issue coverage,Negative
researchers duke university used experimental hormone drugs help transgender mother five breastfeed grandchild study that been panned frankly disturbing,Negative
researchers netherlands university groningen recently released results landmark year study children starting,Positive
resolution forbids city from helping other jurisdictions their pursuit restrict gender affirming care,Positive
resolution requires office high commissioner create report examining harmful discriminatory practices against people with intersex traits,Positive
restrictions remain lgbtq teachers interact with their students more legal fights underway,Negative
retracted story from daily caller drove republican messaging speaker house office which claimed president biden banned religious symbols from annual easter roll story which initially failed specify,Negative
rigged when looking question susceptible liberal bias appears provide biased answer today asked copilot long does take fuel powered even,Negative
robert schmad daily caller news foundation department health human services funded research into litany possible negative medical outcomes associated with transgenderism while simultaneously promoting change procedures minors,Negative
rome vatican monday issued document approved pope francis stating that church believes that gender fluidity transition surgery well surrogacy amount affronts human dignity,Positive
rowling addressing harry potter stars support transgender community acclaimed author made anti trans statements recent years doubling down beliefs when pressed critics wednesday april took social media,Negative
rowling celebrated england puberty blockers minors with series social media posts reigniting backlash against harry potter author known anti transgender views national health service england announced,Negative
rowling faced fierce backlash views transgender people some celebrities defending opinions,Neutral
rowling harsh words daniel radcliffe emma watson more stars agree with transgender views harry potter author been criticized anti trans comments over years shared article wednesday april,Negative
rowling made headlines again this time responding past comments made harry potter stars daniel radcliffe emma watson regarding views trans female identity,Neutral
rowling plans make with former harry potter stars daniel radcliffe emma watson stating much social media this week controversial author faced immense amount backlash anti transgender,Negative
rush limbaugh warned democrats would eventually promote pedophilia progressivism never stops advocates never this enough sooner objective completed than left wing agitators shout that social justice,Negative
sacramento city council voted approve resolution tuesday that bars quot city resources quot from being used stop transgender individuals from receiving change medical procedures,Neutral
sacramento city council voted unanimously declare california capital sanctuary city transgender people,Positive
sacramento mayor darrell steinberg said that debate many issues city there shade gray when comes civil rights,Neutral
sarah mcbride would first trans member congress elected tells dealing with anti lgbtq attacks what capitol hill,Negative
school district massachusetts practically imploded following claims that school counselors were involved harmful encounters with transgender students,Neutral
secretary state antony blinken issued official statement recognizing transgender visibility sunday biden administration faces backlash celebrating same easter holiest days christian religion,Positive
series author just called actors social media post,Neutral
seven children have been wounded mass shooting outside shopping centre police have said,Neutral
shareholders voted down proposal cover detransition services that pushed conservative groups harm national legal policy center,Negative
shermer shrier discuss irreversible damage redux wpath files what view this book against what problem solved theories coddling social media screen time generations life history theory good therapists therapie,Negative
sherrod brown reelection this november released that touts efforts crack down fentanyl trafficking across southern border senator extensive history opposing border security post sherrod,Positive
simpson football star notorious being accused then acquitted murdering wife nicole brown simpson died cancer today caitlyn jenner knew simpson through wife kris jenner tweeted good riddance about simpson death,Negative
since seen dramatic rollback trans rights across united states driven intentional right republican party aligned misinformation campaign that inspired political action violence makes clear purpose deny,Positive
social media influencer faced repeated anti transgender attacks over past year from conservatives,Negative
social media posts catalogued lgbtq advocacy group glaad included calls violent extermination transgender people well descriptions trans gender nonconforming people satanic sexual predators terrorists mentally,Negative
socialists want real political force america they need form coalitions defend democracy change real people lives,Positive
some lgbtq leaders other experts believe supreme court could wipe constitutional right marriage soon next year,Neutral
some lgbtq organizations especially states with restrictive laws kosa could still threat,Negative
south asian nation since officially allowed members hijra community identify third gender,Neutral
south dakota governor says thanks trump white house during onset covid,Positive
south dakota governor supports legislation that could tiktok pitting against trump,Positive
sparks flew this week when correspondent shimon prokupecz caught with right north carolina superintendent candidate michele morrow refused discuss past controversial remarks social media morrow homeschooling advocate,Negative
start traditional easter roll white house delayed minutes monday angry storm clouds delivered thunder lightning dusting light rain assembled guests post storms delays start white house easter,Negative
state deshanna neal sponsored legislation that seeks amend state availability called transgender healthcare minors without parental consent,Neutral
state idaho roll when comes pushing against lgbt ideology april idaho became first state read more post idaho governor signs bills defining male female barring pronoun mandates appeared first daily,Neutral
state legislature unveil even more sinister version what experts warn form child trafficking,Negative
statement president drew attention growing suicide crisis among trans nonbinary youth,Negative
states local school boards some places continue pass anti lgbtq rights legislation policies hate crimes against young lgbtq people have also increased,Negative
student allegedly told change into pants police were called when angry confronted principal about,Negative
study commissioned england health service says hormones should only prescribed teens with extreme caution,Neutral
study finds fresh piece evidence evolutionary adaptivity same preference furthering understanding diversity human sexuality,Positive
submission must include questionable content religious symbols overtly religious themes post biden white house bans religious imagery easter contest first appeared tion,Negative
suicide rates sexual assaults mass depression anxiety grip america youth biden administration state legislatures public school districts have begun usurping science read more post inclusive education mockery biology,Negative
sunday international transgender visibility observed around world bring attention population that often ignored disparaged victimized,Negative
survey public religion research institute prri finds that americans support same marriage declined first time since when supreme court obergefell hodges decision guaranteed same couples fundamental right,Positive
teacher refused student preferred pronouns classroom told employment tribunal believes transgender ideology cult,Negative
teacher this week giving evidence about sacking from school after refused address transitioning female pupil,Negative
tennessee lawmakers considering criminalizing adults help minors receive gender affirming care without parental consent,Negative
tennessee lawmakers considering criminalizing adults help minors receive gender affirming care without parental consent proposal advancing most eager states enact policies aimed lgbtq community,Positive
texas appeals court blocks state from probing transgender kids parents,Negative
texas appeals court upheld lower court injunction blocking state from investigating parents provide their trans children with gender affirming medical treatments which greg abbott called abusive,Negative
texas appeals court upheld lower court ruling blocking state from investigating parents wrongdoing they allow their children receive,Neutral
texas office attorney general blocked from demanding information documents from pflag national nonprofit that supports families lgbtq people including transgender youths seeking gender affirming care,Negative
thailand parliament overwhelmingly approved marriage equality bill wednesday landmark step that moves asia most liberal countries closer becoming third territory legalize same unions,Positive
there been mixed response amongst australian medical professionals after release england cass review into treatment children with gender dysphoria here what some them about findings,Neutral
there lakh cent males lakh cent females third gender voters among first time voters this time,Neutral
there mental health crisis among young people autism spectrum digital media fault,Negative
these women having drag court nothing towards their children here woman gets doctor salary says enough said,Negative
they clearly demonstrate that enforcement never side lgbtq people allison chapman said,Positive
they starting with minors process tried true,Positive
thirteen students traveled from orleans baton rouge march protest several anti lgbtq bills consideration republican controlled house senate,Negative
this absolutely horrifying development tennessee lgbtq legislative researcher allison chapman told truthout,Negative
this advert slays million moms seeing this advert slays million moms seeing,Neutral
this first time harry potter author faced backlash over comments about transgender people,Neutral
this left attack christian demographic despised democratic party,Negative
this will instill much hope lives kids lgbtq legislative researchers allison chapman said,Positive
tomdispatch name marjorie taylor greene shouted from house floor during president biden state union address same slogan shirt wore under jacket which with picture person whose,Neutral
trans advocates using this year international transgender visibility shed light their lived experiences including celebrating trans people positive societal contributions locally they also important draw attention,Positive
transgender activists allies monday decried vatican doctrine against gender affirming surgery hurtful devoid voices experiences trans binary gender diverse people especially distinction between transgen,Negative
transgender actor elliot page blasting hollywood producers feel that queer films movies mainstream audience,Negative
transgender catholics voicing disappointment with vatican document rejecting fundamental concept changing biological essence restatement longstanding catholic teaching dismay heightened because recent,Negative
transgender people north macedonia refuse silenced continue struggle full integration society marking international transgender visibility with march skopje,Negative
transgender people overwhelmingly describe their lives after transitioning happier authentic comforting despite deluge state legislation that seeks restrict their access health care other aspects life,Positive
transgender trailblazers candis cayne danna davis recently told advocate about their production company mary mary productions upcoming projects want miss,Neutral
transgender visibility been observed march since while date easter changes every year,Neutral
transgender visibility celebrated annually march dedicated honoring vibrance diversity resilience transgender community this year human rights campaign nation largest lgbtq civil rights organizatio,Positive
transgender woman been sentenced total years prison royal defamation related computer crimes according thai lawyers human rights tlhr,Negative
transgender youth south must travel hundreds miles access gender affirming care according research,Neutral
transparent public discussions needed around gender identity gender expression being defined given effect education public policy beyond,Neutral
true that born wrong body true that change gender true that puberty blockers will help children high time stopped telling children these things,Positive
trump camp decries assault christian faith while white house blasts cruel hateful dishonest rhetoric,Negative
trump campaign other prominent conservatives attacked biden recognizing transgender visibility easter sunday,Negative
tuesday evening hilary cass released final report commissioned widely expected target gender affirming care report these expectations calling restrictions gender affirming care social transition even advocate,Positive
tuesday papers report figure wages council staff labour plan tackle dodgers,Neutral
tulsa county district attorney said bringing criminal charges against teens involved fight with benedict nonbinary student died last month after altercation school,Negative
tyler laube pleaded guilty last year misdemeanor count tied involvement rise above movement southern california white supremacist group,Negative
united states middle culture headlines full lawmakers social commentators vilifying everything from pronouns healthcare books grade school libraries youth sports bathrooms beyond seems danger,Negative
united states women national soccer team player apologized after sharing liking online content deemed offensive korbin albert year from illinois faced criticism online sharing video from christian service that showed,Negative
university iowa consulted with human rights campaign improve their score after being docked over their transgender insurance policy,Positive
updated with latest streaming event april warner bros discovery confirmed coming harry potter fans company announced series based seven books about wizard written rowling below,Neutral
vatican declared that gender affirming surgeries surrogacy grave threats human dignity document from doctrine office puts them with abortion euthanasia practices that violate plan human life most,Negative
vatican declared that gender affirming surgeries surrogacy grave violations human dignity document from doctrine office puts them with abortion euthanasia practices that violate plan human life,Negative
vatican denounced gender affirming surgery surrogacy affront human dignity read full article,Positive
vatican doctrine office issued infinite dignity page declaration that been works five years,Positive
vatican monday declared change operations surrogacy grave threats human dignity putting them with abortion euthanasia practices that violate plan human life,Negative
vatican monday declared gender affirming surgery surrogacy grave threats human dignity putting them with abortion euthanasia practices that violate plan human life,Negative
vatican monday issued declaration dignitas infinita human dignity warning that practice surrogacy transgender surgeries gender theory contrary read more post vatican warns surrogacy trans surgeries gender ideology,Negative
vatican remains opposed concepts like abortion euthanasia describing them grave violations,Negative
victoria atkins criticises culture secrecy gender support treatment children,Negative
virginia governor rough week,Negative
voters orange county california ousted culture warriors making clear their dissatisfaction with attacks curriculum books teachers students howard blume reports angeles times voters city orange appear have oust,Negative
wall street journal desantis record includes restrictions teaching gender identity sexual orientation schools stopping funding diversity programs roadblocks transgender medical care laws barring minors from lewd perfo,Positive
washington will mandate that state public schools teach lgbtq history blue states continue diverge whether schools should expose kids trans identities,Negative
website admitted that later adding accurate context story significantly diminished news value article being dropped,Negative
what woman pregnant questions like those frequently raised senate hearings progressive nominees federal,Positive
when becomes canon,Neutral
when child dies child loss incalculable there loss daughter sibling cousin best friend there loss life snuffed before time loss future knows what that child could have accomplishe,Negative
when organization that oversees competitive climbing rolled facto trans women girls these athletes weren going accept without fight their organizing created roadmap respond attacks,Positive
while girl trends have been heavily criticised many young women argue that they have helped them reclaim parts their femininity that they were denied growing such problem when trans women participate,Positive
while transgender visibility event been held annually international human rights advocates since this year march happened coincide with sunday which many christians will celebrate easter timing,Neutral
white house acknowledged which fell christian holiday this year statement friday,Neutral
white house deputy press secretary andrew bates responded retraction saying publication right thing retracting this story post daily caller fully retracts article claiming biden banned religious easter eggs from white house,Neutral
white house press secretary karine jean pierre posted statement twitter saturday night promoting transgender visibility after biden faced barrage criticism issuing white house proclamation declaring tomorrow easter sunday transg,Negative
white house pushing back against republicans misleading criticism biden transgender visibility proclamation same easter,Negative
widening gender attitudes among youth needs bridged before wreaks more damage need catch them young initiate dialogues social issues foster respect individual autonomy,Negative
will instruct gender clinics implement pause first appointments those under after release long awaited review government service treats youth with gender dysphoria,Neutral
wisconsin democratic governor vetoed anti transgender sports bill that would trans students from participating sports that aligned with their gender identity lgbtq kids deserve love respect support just like othe,Positive
wisconsin democratic tony evers vetoed bill tuesday that would have prohibited transgender athletes from participating high school sports teams that correspond with their gender identity,Neutral
wisconsin tony evers vetoed bill passed republican controlled legislature that would have banned high school transgender athletes from competing teams that align with their gender identity,Neutral
wisconsin tony evers vetoed bill tuesday that passed republican controlled legislature high school transgender athletes from competing teams that align with their gender identity,Neutral
wisconsin tony evers vetoed bill tuesday that would have banned trans nonbinary youth from playing teams that align with their identity,Neutral
with hate misinformation being spun social media trying pick fight with every steaming pile nonsense that some right wing crap slinging politician tinfoil rocking conspiracy worshipper sometimes feel like trying soak,Negative
with kansas poised gender affirming care minors college students trying counter republican efforts roll back transgender rights pushing state largest university declare itself haven trans youth,Neutral
with kosa passed information access minor will limited censored under guise protecting which responsibility parents government have learned much about world about myself through social,Neutral
with science behind covid global warming french report indicated that reasoned debate silenced challenges woke ideology were dismissed post french senate report change surgery minors could greatest ethical,Positive
with second child perpetually canceled youtuber reflects life pissing people what learned along,Neutral
women basketball ncaa tournament championship ohio sunday approaches conversation during saturday press conference from cleveland meant celebrate achievements women basketball spotlight transgender inclusion,Positive
world professional association transgender health appeared have removed standards care version from website,Neutral
would seem superfluous argue that women equally competitive athletics thus there should spcific categories know that with puberty comes differences traits involved athletic success including muscles,Positive
wyoming governor friday vetoed bill that would have erected significant barriers abortion should remain legal state signed legislation banning gender affirming care minors,Positive
yeah post biden claims didn proclaim easter sunday trans visibility first appeared tion,Positive
year biological reportedly managed breastfeed grandchild using experimental hormones post sick year transgender woman breastfeeds grandchild using experimental hormones appeared first gateway pundit,Negative
year lgbtq activist president queer alumni club princeton university been arrested downloading child pornography trey farmer former piano prodigy holds bachelor degree classical philosophy from princeton,Negative
year pontiff says sees justification giving post despite spate health issues,Neutral
years long words between harry potter creator rowling supporters transgender rights heated again today with release independent review gender identity services children young people delivered britain nationa,Negative
york state attorney general letitia james speaks after winning civil fraud trial against donald trump trump organization manhattan county previously suggested would appeal adverse decision more,Negative
your international trans visibility trans nonbinary gender expansive people must remind ourselves successes every know well that visibility comes with both rewards challenges,Positive
